               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12275,            0.037705,            0.030188,           0.0038033,            0.094429,           0.0029385,          0.00099174,             0.12008,            0.030292,            0.028002,              0.0955,              0.0005,              0.0005
                   1,             0.11413,            0.036446,             0.02535,            0.022393,            0.036685,           0.0098738,           0.0043698,             0.11073,            0.029184,            0.022327,            0.090089,           0.0010891,           0.0010891
                   2,              0.1054,            0.040598,            0.019941,             0.11423,            0.078125,            0.099397,            0.051598,            0.098453,            0.030671,             0.01755,            0.084666,           0.0016663,           0.0016663
                   3,            0.092905,            0.042746,            0.014966,             0.70712,             0.23438,             0.23269,             0.10718,            0.089401,            0.031321,            0.013394,            0.079232,           0.0022317,           0.0022317
                   4,            0.080899,            0.036963,            0.010352,             0.69333,             0.29688,             0.27632,             0.13072,            0.083195,            0.033218,            0.010737,            0.073785,           0.0027852,           0.0027852
                   5,            0.078807,            0.043858,           0.0079991,             0.19519,             0.27242,             0.19363,             0.10209,            0.094225,            0.039883,           0.0093174,            0.068327,           0.0033267,           0.0033267
                   6,            0.074336,            0.034645,            0.006293,             0.36733,             0.35802,             0.23493,             0.12395,             0.07749,            0.045619,           0.0084651,            0.062856,           0.0038565,           0.0038565
                   7,            0.071126,            0.031676,           0.0058533,             0.37124,             0.38451,             0.28017,             0.15946,            0.077312,            0.037644,           0.0074037,            0.057374,           0.0043743,           0.0043743
                   8,            0.069809,            0.031102,           0.0051046,             0.30203,             0.62364,             0.36432,             0.21452,            0.081366,            0.035573,           0.0071708,             0.05188,           0.0048802,           0.0048802
                   9,            0.071643,            0.033364,           0.0053252,              0.2868,              0.6295,             0.31705,             0.13017,            0.071263,            0.029256,           0.0069093,            0.046374,           0.0053743,           0.0053743
                  10,            0.067894,             0.02879,           0.0042713,             0.24046,             0.50204,             0.30632,             0.15676,            0.092412,            0.024344,           0.0067062,            0.040857,           0.0058565,           0.0058565
                  11,            0.072899,            0.027063,           0.0044174,             0.29475,             0.67799,             0.33656,             0.15715,            0.073156,            0.024663,           0.0065948,            0.035327,           0.0063268,           0.0063268
                  12,            0.068718,            0.030176,            0.004471,             0.18675,             0.51155,              0.1883,            0.050757,            0.078326,            0.025129,           0.0064711,            0.029785,           0.0067852,           0.0067852
                  13,            0.070238,             0.02997,           0.0040729,             0.31046,             0.53145,             0.35279,             0.22641,            0.081741,            0.023574,           0.0067451,            0.024232,           0.0072318,           0.0072318
                  14,             0.06748,             0.02834,           0.0044551,             0.34822,             0.56726,             0.38197,             0.24333,            0.078748,            0.023317,           0.0065683,            0.018666,           0.0076665,           0.0076665
                  15,            0.069447,            0.028067,           0.0037374,              0.3792,             0.55715,             0.40554,             0.21381,            0.084751,            0.022684,           0.0066922,            0.013089,           0.0080892,           0.0080892
                  16,            0.067566,            0.026918,           0.0042036,             0.41162,             0.59579,             0.42517,             0.25239,            0.076099,            0.025546,           0.0065562,            0.008416,            0.008416,            0.008416
                  17,            0.065713,            0.027011,           0.0040895,             0.31158,             0.68003,             0.43538,             0.25087,            0.070295,             0.02803,           0.0067385,            0.008416,            0.008416,            0.008416
                  18,              0.0611,            0.028597,            0.003949,             0.29908,             0.57337,             0.30418,             0.15389,            0.068703,            0.028912,           0.0071079,            0.008317,            0.008317,            0.008317
                  19,            0.057971,            0.026983,           0.0037734,             0.26815,             0.66304,             0.33508,             0.17605,            0.069982,            0.031717,           0.0070726,            0.008218,            0.008218,            0.008218
                  20,            0.053637,            0.025337,            0.003455,             0.37121,             0.58899,             0.40576,             0.24536,             0.06737,            0.026347,           0.0076452,            0.008119,            0.008119,            0.008119
                  21,            0.055515,            0.026599,           0.0038842,             0.39353,             0.62636,             0.45259,             0.29539,            0.072377,            0.030827,           0.0074503,             0.00802,             0.00802,             0.00802
                  22,            0.055155,            0.027142,           0.0032931,             0.42884,             0.64266,             0.45805,              0.2579,            0.062589,            0.027354,           0.0075603,            0.007921,            0.007921,            0.007921
                  23,             0.04952,            0.027378,            0.003206,             0.39841,             0.66985,             0.44931,              0.2732,            0.076991,            0.034721,           0.0067446,            0.007822,            0.007822,            0.007822
                  24,            0.050978,            0.025192,           0.0031148,              0.4518,             0.69497,             0.51464,             0.31275,            0.061719,            0.026802,           0.0071163,            0.007723,            0.007723,            0.007723
                  25,             0.04918,            0.026652,           0.0031818,             0.46471,             0.64987,             0.52817,             0.33506,            0.067612,            0.027516,           0.0070978,            0.007624,            0.007624,            0.007624
                  26,            0.049994,            0.024324,           0.0030596,             0.46656,             0.73166,             0.53916,             0.34789,            0.060419,            0.027882,           0.0066695,            0.007525,            0.007525,            0.007525
                  27,            0.046568,            0.023587,           0.0035191,             0.52592,             0.65693,             0.53545,             0.24005,            0.061865,            0.028148,           0.0070539,            0.007426,            0.007426,            0.007426
                  28,            0.045253,            0.025676,           0.0027671,             0.49506,             0.69837,             0.55732,             0.32546,             0.06547,            0.027869,           0.0072737,            0.007327,            0.007327,            0.007327
                  29,            0.046017,             0.02151,           0.0027258,             0.49694,              0.6447,             0.54483,             0.34692,            0.068528,            0.024416,           0.0079348,            0.007228,            0.007228,            0.007228
                  30,            0.045397,             0.02209,           0.0026284,             0.56259,             0.61889,             0.55437,             0.33916,            0.057022,            0.025457,           0.0082491,            0.007129,            0.007129,            0.007129
                  31,            0.041855,            0.024348,           0.0027911,             0.45405,             0.64674,             0.47374,             0.24813,            0.062397,            0.025533,           0.0069438,             0.00703,             0.00703,             0.00703
                  32,            0.043803,            0.024099,           0.0023096,             0.57426,             0.65763,             0.54687,              0.3601,            0.056125,            0.024589,           0.0074343,            0.006931,            0.006931,            0.006931
                  33,            0.041617,            0.021465,            0.002208,             0.57113,             0.66168,             0.55916,             0.34953,             0.06337,            0.023491,            0.008136,            0.006832,            0.006832,            0.006832
                  34,            0.042604,            0.024739,            0.002572,             0.61699,             0.68529,             0.57517,             0.40098,            0.056904,            0.027412,           0.0084047,            0.006733,            0.006733,            0.006733
                  35,            0.041039,            0.019972,           0.0029016,             0.66978,             0.67731,             0.59387,             0.39154,             0.06497,            0.023661,           0.0097101,            0.006634,            0.006634,            0.006634
                  36,            0.042518,            0.021788,           0.0025432,             0.60698,             0.65637,             0.57699,             0.40166,            0.059993,            0.023352,           0.0087812,            0.006535,            0.006535,            0.006535
