                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0873,                  3.257,                0.98204,                0.02782,                0.64271,                0.03459,                0.01303,                 1.5666,                 3.4809,                0.85239,                0.00036,                0.00036,                0.00036
                      2,                 1.4897,                 1.0952,                0.86983,                 0.0232,                0.53593,                0.02746,                0.01569,                 1.4569,                 3.3303,                0.84697,             0.00073512,             0.00073512,             0.00073512
                      3,                 1.3847,                0.88302,                0.85416,                0.03311,                0.76489,                0.22698,                0.10919,                  1.833,                 2.9332,                0.90126,              0.0011052,              0.0011052,              0.0011052
                      4,                 1.3625,                0.81686,                0.85338,                0.87166,                0.20123,                0.69637,                0.35633,                 1.6283,                 2.0774,                 0.8603,              0.0014703,              0.0014703,              0.0014703
                      5,                 1.3397,                0.74665,                0.84916,                0.92468,                0.78782,                0.87551,                0.42195,                 1.6205,                 1.3534,                0.85011,              0.0018304,              0.0018304,              0.0018304
                      6,                 1.2861,                0.68028,                0.84427,                0.91983,                0.84818,                 0.9188,                0.55254,                 1.3281,                0.86922,                0.82861,               0.001934,               0.001934,               0.001934
                      7,                  1.312,                0.65357,                0.84589,                0.87621,                0.86117,                0.87927,                0.50175,                 1.4098,                0.72118,                0.83922,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.2797,                0.62112,                0.84203,                0.93768,                0.88501,                0.94263,                0.57802,                 1.3054,                0.57889,                0.83029,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.3738,                0.64487,                0.85333,                0.94231,                0.85986,                0.93033,                0.52142,                 1.4483,                0.68801,                0.83385,              0.0018944,              0.0018944,              0.0018944
                     10,                 1.2072,                0.57973,                0.83628,                  0.933,                0.86345,                0.91679,                0.50472,                 1.4022,                0.62941,                 0.8336,              0.0018812,              0.0018812,              0.0018812
                     11,                 1.1946,                0.56187,                0.83522,                0.92286,                0.82238,                0.87931,                0.44803,                 1.5447,                0.71846,                0.85087,               0.001868,               0.001868,               0.001868
                     12,                 1.1848,                0.55159,                  0.835,                0.95473,                0.86807,                0.94607,                 0.5597,                    1.4,                0.58736,                0.83485,              0.0018548,              0.0018548,              0.0018548
                     13,                 1.1806,                0.54819,                0.83333,                0.95538,                0.89322,                0.95851,                0.64474,                 1.1516,                0.54179,                0.81391,              0.0018416,              0.0018416,              0.0018416
                     14,                 1.1756,                0.53486,                0.82831,                0.94758,                0.90144,                0.95766,                0.62952,                 1.1908,                0.53619,                0.81279,              0.0018284,              0.0018284,              0.0018284
                     15,                  1.154,                0.52872,                0.82959,                0.96634,                0.90811,                0.95895,                0.60224,                 1.2353,                0.53147,                0.81631,              0.0018152,              0.0018152,              0.0018152
                     16,                 1.1314,                 0.5205,                0.83017,                0.95411,                0.90725,                0.96087,                0.64915,                 1.1384,                0.51909,                0.81487,               0.001802,               0.001802,               0.001802
                     17,                 1.1436,                0.51937,                0.82977,                0.94715,                0.91076,                0.96463,                0.62415,                 1.2044,                0.56095,                0.81337,              0.0017888,              0.0017888,              0.0017888
                     18,                 1.1219,                 0.5193,                 0.8294,                0.96052,                 0.8963,                0.94785,                0.54387,                 1.3249,                0.62494,                0.82395,              0.0017756,              0.0017756,              0.0017756
                     19,                 1.1244,                0.51056,                0.83046,                0.94496,                0.91427,                0.96358,                0.65416,                 1.1451,                 0.4942,                0.81456,              0.0017624,              0.0017624,              0.0017624
                     20,                 1.1588,                0.51651,                0.83012,                0.94467,                0.92028,                0.96332,                0.61299,                 1.2418,                0.56021,                0.81803,              0.0017492,              0.0017492,              0.0017492
                     21,                 1.1078,                0.49635,                0.82389,                 0.9658,                 0.8999,                0.96328,                0.64898,                 1.1433,                0.50714,                0.81113,               0.001736,               0.001736,               0.001736
                     22,                 1.1112,                0.50479,                0.82515,                0.96881,                0.91324,                0.97109,                0.62269,                 1.2107,                0.49864,                0.82111,              0.0017228,              0.0017228,              0.0017228
                     23,                 1.0743,                0.48766,                0.82339,                 0.9491,                0.93809,                0.97033,                 0.6601,                   1.13,                0.53065,                0.81021,              0.0017096,              0.0017096,              0.0017096
                     24,                 1.0883,                 0.4905,                0.82344,                0.96346,                0.93392,                0.97265,                   0.68,                 1.0655,                0.46671,                0.80542,              0.0016964,              0.0016964,              0.0016964
                     25,                 1.0743,                0.48706,                0.82141,                 0.9479,                 0.9247,                0.96364,                0.64182,                 1.1334,                0.51944,                0.81026,              0.0016832,              0.0016832,              0.0016832
                     26,                 1.0626,                0.47851,                 0.8201,                0.96604,                0.91999,                0.97116,                 0.6706,                 1.0993,                0.49232,                0.80661,                0.00167,                0.00167,                0.00167
                     27,                 1.0792,                0.48174,                0.82193,                0.96015,                0.91632,                0.97034,                0.66429,                 1.1152,                0.51323,                0.80756,              0.0016568,              0.0016568,              0.0016568
                     28,                 1.0614,                0.47713,                0.81988,                0.95727,                0.92608,                0.96839,                0.67321,                 1.0431,                0.48437,                0.80256,              0.0016436,              0.0016436,              0.0016436
                     29,                 1.0508,                0.47273,                0.82036,                0.94599,                0.93891,                0.97151,                0.67873,                  1.066,                0.47965,                0.80572,              0.0016304,              0.0016304,              0.0016304
                     30,                 1.0497,                 0.4747,                0.82074,                0.96665,                0.92659,                0.97327,                0.70105,                 1.0257,                0.45596,                0.80468,              0.0016172,              0.0016172,              0.0016172
                     31,                 1.0323,                0.46785,                0.81835,                0.96014,                0.91632,                0.97192,                0.66886,                 1.0791,                0.47455,                0.80316,               0.001604,               0.001604,               0.001604
                     32,                 1.0795,                0.48347,                0.82202,                0.95645,                0.93224,                0.96909,                0.67389,                 1.0549,                 0.4686,                0.80529,              0.0015908,              0.0015908,              0.0015908
                     33,                 1.0579,                0.46694,                0.81783,                0.96148,                0.92253,                0.97169,                0.68667,                 1.0525,                0.45153,                0.80509,              0.0015776,              0.0015776,              0.0015776
                     34,                  1.021,                 0.4581,                0.82058,                0.95898,                0.93686,                0.97392,                0.70727,                0.97021,                0.44241,                0.80103,              0.0015644,              0.0015644,              0.0015644
                     35,                 1.0405,                0.46492,                0.81963,                0.96167,                0.92967,                0.97104,                0.69115,                 1.0332,                0.45641,                0.80427,              0.0015512,              0.0015512,              0.0015512
                     36,                  1.031,                0.46132,                0.81771,                0.95958,                0.93831,                0.97341,                0.68327,                 1.0404,                 0.4591,                 0.8069,               0.001538,               0.001538,               0.001538
                     37,                 1.0156,                0.46021,                 0.8184,                 0.9594,                0.93397,                  0.973,                0.68437,                  1.032,                0.46137,                0.80438,              0.0015248,              0.0015248,              0.0015248
                     38,                 0.9984,                0.44845,                0.81565,                 0.9531,                0.93898,                0.97239,                0.69698,                 1.0194,                0.45685,                0.80232,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.0284,                0.45394,                 0.8159,                0.95326,                0.94229,                0.97317,                0.70836,                0.95945,                0.44803,                0.79935,              0.0014984,              0.0014984,              0.0014984
                     40,                  1.016,                0.45095,                0.81677,                0.96947,                0.92916,                0.97351,                 0.7056,                 1.0255,                0.45498,                0.80253,              0.0014852,              0.0014852,              0.0014852
                     41,                0.99304,                0.44801,                 0.8157,                0.97153,                 0.9348,                 0.9752,                 0.7272,                 0.9554,                0.44536,                0.80182,               0.001472,               0.001472,               0.001472
                     42,                 1.0283,                0.45652,                0.81762,                0.95535,                0.92351,                  0.971,                0.68536,                 1.0401,                0.44653,                0.80425,              0.0014588,              0.0014588,              0.0014588
                     43,                 1.0078,                0.44916,                0.81559,                0.96451,                0.93121,                0.97518,                0.70025,                 1.0548,                0.47634,                0.80405,              0.0014456,              0.0014456,              0.0014456
                     44,                 1.0032,                0.44606,                0.81426,                0.97847,                0.93378,                0.97646,                0.72026,                0.96263,                0.44893,                0.80137,              0.0014324,              0.0014324,              0.0014324
                     45,                 1.0283,                 0.4547,                0.81792,                0.96749,                0.94507,                0.97666,                0.72362,                0.93971,                0.42945,                0.80065,              0.0014192,              0.0014192,              0.0014192
                     46,                0.98285,                0.44256,                0.81467,                0.96454,                0.92864,                0.97399,                0.71985,                0.98599,                0.44585,                0.80334,               0.001406,               0.001406,               0.001406
                     47,                0.97968,                0.44057,                0.81628,                0.96377,                 0.9285,                0.97435,                0.69787,                 1.0092,                0.43717,                0.80479,              0.0013928,              0.0013928,              0.0013928
                     48,                0.97039,                0.43419,                0.81463,                0.94088,                0.94251,                0.97456,                0.71398,                0.96962,                0.43889,                0.80034,              0.0013796,              0.0013796,              0.0013796
                     49,                0.98407,                 0.4404,                 0.8125,                0.95744,                0.94706,                0.97618,                0.70713,                0.97194,                0.44457,                0.80224,              0.0013664,              0.0013664,              0.0013664
                     50,                0.97856,                0.43906,                0.81296,                0.96255,                0.93675,                0.97522,                0.72079,                0.95266,                0.43301,                0.80115,              0.0013532,              0.0013532,              0.0013532
                     51,                0.95355,                0.42612,                0.81364,                 0.9527,                0.94815,                0.97656,                 0.7328,                  0.932,                0.41849,                0.80011,                0.00134,                0.00134,                0.00134
                     52,                0.97163,                0.43104,                0.81422,                0.97407,                0.92454,                0.97728,                0.70638,                0.99254,                0.42856,                0.80244,              0.0013268,              0.0013268,              0.0013268
                     53,                0.95608,                0.43217,                0.81108,                0.97361,                0.92806,                0.97527,                0.69605,                  1.022,                0.44427,                0.80319,              0.0013136,              0.0013136,              0.0013136
                     54,                0.98573,                0.43676,                0.80994,                0.97146,                0.92596,                0.97584,                0.72786,                0.94593,                0.42922,                0.80025,              0.0013004,              0.0013004,              0.0013004
                     55,                0.95698,                0.43055,                 0.8118,                0.97581,                0.93206,                0.97628,                 0.7352,                0.93858,                0.43809,                0.79818,              0.0012872,              0.0012872,              0.0012872
                     56,                0.96565,                0.42937,                0.81208,                 0.9661,                0.93616,                0.97555,                0.72523,                0.92406,                0.41083,                0.79925,               0.001274,               0.001274,               0.001274
                     57,                0.95454,                 0.4284,                0.81217,                0.97425,                0.93121,                0.97399,                 0.6583,                 1.0992,                0.47056,                0.80455,              0.0012608,              0.0012608,              0.0012608
                     58,                0.96911,                0.43329,                0.81189,                0.95545,                0.93586,                0.97594,                 0.7231,                0.98012,                0.43864,                0.80423,              0.0012476,              0.0012476,              0.0012476
                     59,                0.93762,                0.42146,                0.81087,                0.95902,                0.94903,                0.97805,                 0.7471,                0.92034,                0.41486,                0.80122,              0.0012344,              0.0012344,              0.0012344
                     60,                0.95362,                0.42635,                0.81116,                0.95639,                0.95691,                0.97658,                0.73335,                0.93937,                0.41853,                0.80265,              0.0012212,              0.0012212,              0.0012212
                     61,                0.94488,                 0.4201,                0.81252,                0.96163,                0.95216,                 0.9781,                0.74179,                0.89674,                 0.4063,                0.79848,               0.001208,               0.001208,               0.001208
                     62,                0.94634,                0.41932,                0.80844,                0.97608,                0.92153,                0.97745,                0.74737,                0.89442,                0.41413,                0.79808,              0.0011948,              0.0011948,              0.0011948
                     63,                0.93344,                0.41904,                0.80985,                0.98136,                0.94596,                0.97918,                0.74718,                 0.8891,                0.41304,                0.79752,              0.0011816,              0.0011816,              0.0011816
                     64,                0.92499,                0.41424,                0.81069,                0.97949,                0.93737,                0.97897,                0.74714,                0.89824,                0.41359,                 0.7968,              0.0011684,              0.0011684,              0.0011684
                     65,                0.94298,                0.42032,                0.80875,                0.97895,                0.93429,                0.97879,                0.73668,                0.92687,                0.40857,                0.80011,              0.0011552,              0.0011552,              0.0011552
